ForestName plotid dbh stump SpeciesCode
390 Kibale 17 13.6 0 TriMad
391 Kibale 18 5.1 0 EupTre
392 Kibale 18 6.7 0 EupTre
393 Kibale 18 20.3 0 FunEla
394 Kibale 18 12.7 0 FunEla
395 Kibale 18 3.7 0 RotUrc
396 Kibale 18 4.7 0 RotUrc
397 Kibale 18 9.6 0 RotUrc
398 Kibale 18 6.7 0 RotUrc
399 Kibale 18 4.2 0 RotUrc
400 Kibale 18 7.9 0 RotUrc
401 Kibale 18 8.7 0 RotUrc
402 Kibale 18 5.2 0 RotUrc
403 Kibale 18 5.7 0 RotUrc
404 Kibale 18 31.4 0 TetDid
405 Kibale 19 17.8 0 MarDis
406 Kibale 19 14.7 0 MarDis
407 Kibale 19 13.7 0 RotUrc
408 Kibale 19 8.4 0 RotUrc
409 Kibale 19 9.2 0 RotUrc
410 Kibale 19 6.8 0 RotUrc
411 Kibale 19 7.4 0 RotUrc
412 Kibale 19 6.6 0 RotUrc
413 Kibale 20 4.1 0 DicArb
414 Kibale 20 29 0 RotUrc
415 Kibale 20 9.9 0 RotUrc
416 Kibale 20 8.1 0 RotUrc
417 Kibale 20 13.4 0 RotUrc
418 Kibale 20 8.9 0 RotUrc
419 Kibale 20 9.1 0 RotUrc
420 Kibale 21 34 0 CelDur
421 Kibale 21 7.6 0 PycAng
422 Kibale 21 15.7 0 RotUrc
423 Kibale 21 5.3 0 RotUrc
424 Kibale 21 14.2 0 TecNob
425 Kibale 22 4.1 0 AcaNep
426 Kibale 22 4.5 0 AcaNep
427 Kibale 22 4.7 0 AntTox
428 Kibale 22 3.8 0 AntTox
429 Kibale 22 6.8 0 RotUrc
430 Kibale 22 11.5 0 RotUrc
431 Kibale 23 13.2 0 ChaAri
432 Kibale 23 8.3 0 ChaAri
433 Kibale 23 66.4 0 ErySua
434 Kibale 23 3.7 0 MaeDuc
435 Kibale 23 5.9 0 MaeDuc
436 Kibale 23 50.9 0 PseMic
437 Kibale 23 10.9 0 RotUrc
438 Kibale 23 6.1 0 RotUrc
439 Kibale 23 6.2 0 RotUrc
440 Kibale 23 4.9 0 RotUrc
441 Kibale 23 7.7 0 ZanRub
442 Kibale 23 6.6 0 ZanRub
443 Kibale 24 3.7 0 AcaNep
444 Kibale 24 5.9 0 AntTox
445 Kibale 24 18.4 0 CelAfr
446 Kibale 24 31 0 LovTri
447 Kibale 24 7.6 0 MaeDuc
448 Kibale 24 4.9 0 MaeDuc
449 Kibale 24 3.8 0 MaeDuc
450 Kibale 24 6.1 0 MaeDuc
451 Kibale 24 5.2 0 RotUrc
452 Kibale 24 21.7 0 RotUrc
453 Kibale 25 66.4 0 ErySua
454 Kibale 25 6.3 0 MaeDuc
455 Kibale 25 13.7 0 MyrHol
456 Kibale 25 25.1 0 PseMic
457 Kibale 25 6.2 0 RotUrc
458 Kibale 25 16.7 0 RotUrc
459 Kibale 25 14.1 0 RotUrc
460 Kibale 25 37.8 0 SidPar
461 Kibale 26 87.6 0 AlbGom
462 Kibale 26 30.3 0 CelAfr
463 Kibale 26 6.3 0 ChaAri
464 Kibale 26 6.6 0 RotUrc
465 Kibale 26 13 0 RotUrc
466 Kibale 26 4.5 0 RotUrc
467 Kibale 26 10.9 0 RotUrc
468 Kibale 26 3.7 0 RotUrc
469 Kibale 26 15.5 0 RotUrc
470 Kibale 26 7.2 0 RotUrc
471 Kibale 26 5.1 0 RotUrc
472 Kibale 26 7.2 0 RotUrc
473 Kibale 27 10.1 0 ChaAri
474 Kibale 27 16.5 0 MarDis
475 Kibale 27 8.7 0 RotUrc
476 Kibale 27 7.1 0 RotUrc
477 Kibale 27 5.7 0 RotUrc
478 Kibale 27 4.9 0 RotUrc
479 Kibale 27 15.9 0 RotUrc
480 Kibale 27 16.1 0 RotUrc
481 Kibale 27 5.1 0 RotUrc
482 Kibale 27 6.1 0 TecNob
483 Kibale 27 9 0 TecNob
484 Kibale 27 3.7 0 TecNob
485 Kibale 28 69 0 RotUrc
486 Kibale 28 6.5 0 RotUrc
487 Kibale 28 4.8 0 RotUrc
488 Kibale 28 5.9 0 RotUrc
489 Kibale 28 8 0 RotUrc
490 Kibale 28 5.2 0 RotUrc
491 Kibale 28 8.8 0 RotUrc
492 Kibale 29 26.1 0 FicSur
493 Kibale 29 4 0 RotUrc
494 Kibale 29 5.2 0 RotUrc
495 Kibale 29 4.9 0 RotUrc
496 Kibale 29 3.9 0 RotUrc
497 Kibale 29 5.4 0 RotUrc
498 Kibale 30 7.8 0 MacAng
499 Kibale 30 10 0 RotUrc
500 Kibale 30 14.8 0 RotUrc
501 Kibale 30 14.4 0 RotUrc
502 Kibale 30 3.9 0 RotUrc
503 Kibale 30 8 0 RotUrc
504 Kibale 30 5.4 0 RotUrc
505 Kibale 31 31.8 0 MacSpi
506 Kibale 31 17.1 0 RotUrc
507 Kibale 31 5.1 0 RotUrc
508 Kibale 31 13 0 RotUrc
509 Kibale 31 8.2 0 RotUrc
510 KisubiTechnical 1 5.6 0 LovTri
511 KisubiTechnical 1 4.6 0 LovTri
512 KisubiTechnical 1 5.3 0 TarPav
513 KisubiTechnical 2 21.8 0 MacMon
